Spike,Time
1,0.083
2,0.132
3,0.135
4,0.273
5,0.677
6,0.785
7,0.789
8,0.932
9,0.962
10,1.055
11,1.677
12,1.68
13,1.687
14,2.174
15,2.187
16,2.191
17,2.557
18,2.692
19,2.93
20,3.166
21,3.185
22,3.331
23,3.494
24,3.686
25,3.783
26,3.794
27,3.806
28,3.841
29,3.959
30,4.059
31,4.424
32,4.559
33,4.705
34,4.849
35,5.072
36,5.09
37,5.183
38,5.337
39,5.375
40,5.448
41,5.473
42,5.665
43,5.709
44,5.72
45,5.854
46,6.926
47,6.933
48,7.066
49,7.195
50,7.452
51,7.598
52,7.687
53,7.705
54,7.709
55,8.483
56,8.549
57,9.074
58,9.338
59,9.956
60,10.048
61,10.067
62,10.309
63,10.317
64,10.865
65,10.931
66,11.064
67,11.171
68,11.363
69,11.439
70,11.461
71,11.559
72,11.795
73,11.924
74,12.333
75,12.745
76,12.776
77,12.796
78,13.335
79,13.475
80,13.533
81,13.833
82,14.067
83,14.576
84,14.592
85,15.217
86,16.347
87,16.396
88,16.448
89,16.454
90,16.823
91,16.826
92,16.955
93,17.032
94,17.199
95,17.333
96,18.183
97,18.498
98,18.58
99,18.589
100,19.089
101,19.232
102,19.458
103,19.715
104,19.729
105,20.183
106,20.199
107,20.586
108,20.938
109,21.252
110,21.832
111,21.889
112,21.93
113,21.945
114,22.105
115,22.267
116,22.725
117,23.272
118,23.565
119,23.733
120,23.823
121,24.207
122,24.319
123,24.332
124,24.666
125,24.68
126,24.687
127,24.702
128,25.423
129,25.488
130,25.586
131,25.789
132,26.319
133,26.507
134,26.687
135,27.458
136,27.565
137,27.838
138,27.945
139,27.963
140,27.989
141,28.073
142,28.446
143,28.596
144,28.669
145,28.708
146,28.924
147,29.464
148,29.71
149,29.829
150,30.061
151,30.418
152,30.438
153,30.566
154,30.569
155,30.583
156,31.223
157,31.601
158,31.712
159,31.773
160,32.297
161,32.343
162,32.389
163,32.813
164,32.828
165,32.839
166,32.969
167,33.009
168,33.059
169,33.222
170,33.338
171,33.41
172,33.669
173,33.775
174,33.779
175,33.907
176,33.923
177,34.677
178,34.725
179,34.809
180,34.935
181,34.96
182,34.973
183,35.053
184,35.078
185,35.398
186,35.549
187,35.922
188,35.949
189,36.225
190,36.273
191,36.311
192,36.323
193,36.711
194,36.724
195,36.811
196,37.229
197,37.597
198,37.849
199,37.97
200,38.105
201,38.576
202,38.833
203,39.094
204,39.096
205,39.186
206,40.194
207,40.345
208,40.565
209,40.696
210,41.223
211,41.224
212,41.327
213,42.072
214,42.096
215,42.411
216,42.471
217,42.583
218,42.585
219,43.174
220,43.336
221,43.464
222,43.489
223,44.136
224,44.562
225,44.961
226,45.069
227,45.431
228,45.492
229,45.763
230,45.783
231,46.123
232,46.226
233,46.306
234,46.317
235,46.331
236,46.765
237,46.785
238,47.298
239,47.315
240,47.404
241,47.611
242,47.813
243,47.966
244,48.339
245,48.68
246,48.73
247,48.958
248,48.96
249,49.29
250,49.423
251,49.852
252,49.953
253,50.301
254,50.314
255,50.578
256,50.746
257,51.085
258,51.197
259,51.652
260,51.729
261,51.812
262,51.867
263,52.086
264,52.549
265,53.002
266,53.038
267,53.082
268,53.141
269,53.17
270,53.387
271,53.509
272,53.606
273,54.707
274,54.805
275,54.843
276,55.093
277,55.181
278,55.306
279,56.188
280,56.205
281,56.217
282,56.323
283,56.564
284,56.682
285,56.935
286,57.192
287,57.312
288,57.448
289,57.58
290,57.645
291,57.689
292,57.82
293,57.825
294,58.322
295,58.458
296,58.566
297,58.713
298,58.958
299,58.977
300,59.189
301,59.303
302,60.098
303,60.203
304,60.491
305,61.206
306,61.709
307,61.835
308,62.089
309,62.199
310,62.697
311,62.824
312,63.095
313,63.382
314,63.941
315,64.641
316,64.817
317,65.161
318,65.228
319,65.328
320,65.375
321,65.804
322,65.951
323,66.415
324,66.455
325,66.7
326,66.784
327,67.195
328,67.196
329,67.343
330,67.457
331,68.097
332,68.128
333,68.54
334,68.699
335,68.936
336,68.943
337,69.126
338,69.22
339,69.235
340,69.245
341,69.582
342,69.589
343,69.999
344,70.003
345,70.04
346,70.044
347,70.475
348,70.703
349,70.951
350,70.959
351,71.094
352,71.293
353,71.394
354,71.828
355,71.956
356,72.3
357,72.328
358,72.421
359,72.492
360,72.827
361,72.94
362,73.322
363,73.701
364,73.944
365,74.091
366,74.104
367,74.288
368,74.351
369,74.59
370,75.17
371,75.285
372,75.814
373,76.063
374,76.19
375,76.191
376,76.227
377,76.297
378,76.309
379,76.679
380,76.935
381,77.187
382,77.193
383,77.436
384,77.583
385,77.588
386,77.6
387,77.658
388,77.971
389,78.187
390,78.281
391,78.317
392,78.449
393,79.063
394,79.406
395,79.425
396,79.601
397,79.616
398,80.183
399,80.307
400,80.39
401,80.696
402,80.723
403,80.956
404,81.826
405,82.195
406,82.458
407,82.548
408,82.692
409,82.946
410,83.548
411,83.818
412,84.171
413,84.195
414,84.199
415,84.308
416,84.625
417,85.462
418,85.58
419,86.446
420,87.315
421,87.321
422,87.359
423,87.557
424,87.673
425,87.987
426,88.046
427,88.05
428,88.155
429,88.314
430,88.638
431,88.828
432,89.215
433,89.473
434,89.542
435,89.869
436,90.194
437,90.196
438,90.201
439,90.224
440,90.271
441,90.333
442,90.82
443,90.937
444,91.077
445,91.39
446,91.457
447,91.529
448,91.679
449,91.956
450,92.039
451,92.125
452,92.19
453,92.193
454,92.296
455,92.303
456,92.309
457,92.407
458,92.799
459,92.932
460,93.166
461,93.541
462,93.803
463,93.831
464,93.966
465,94.314
466,94.573
467,94.801
468,94.862
469,94.938
470,94.991
471,95.156
472,95.291
473,95.334
474,95.443
475,95.637
476,95.93
477,95.932
478,96.007
479,96.188
480,96.204
481,96.214
482,96.62
483,96.915
484,96.969
485,97.581
486,97.923
487,97.944
488,98.197
489,98.424
490,98.689
491,98.851
492,98.93
493,99.088
494,99.447
495,99.529
496,99.539
497,99.679
498,99.797
499,99.879
500,100.035
501,100.138
502,100.159
503,100.198
504,100.255
505,100.281
506,100.578
507,100.908
508,101
509,101.094
510,101.41
511,101.427
512,101.518
513,101.784
514,102.289
515,102.557
516,102.566
517,102.781
518,103.02
519,103.182
520,103.291
521,103.315
522,103.416
523,103.427
524,103.5
525,103.632
526,103.819
527,104.284
528,104.903
529,105.286
530,105.65
531,106.024
532,106.07
533,106.284
534,106.642
535,106.648
536,106.786
537,107.175
538,107.421
539,107.808
540,108.357
541,108.541
542,108.634
543,109.051
544,109.153
545,109.176
546,109.419
547,109.548
548,109.657
549,109.665
550,109.942
551,110.06
552,110.196
553,110.647
554,110.702
555,110.723
556,110.784
557,110.786
558,111.015
559,111.17
560,111.209
561,111.438
562,111.787
563,112.282
564,112.424
565,112.542
566,113.292
567,113.432
568,113.632
569,114.06
570,114.438
571,114.462
572,114.776
573,114.785
574,114.821
575,114.922
576,114.996
577,115.666
578,115.744
579,115.803
580,115.806
581,115.815
582,116.059
583,116.424
584,117.031
585,117.158
586,117.278
587,117.281
588,117.804
589,118.566
590,119.042
591,119.526
592,119.651
593,119.808
